Year,State,Replacement Ratio 1,Replacement Ratio 2,Recipiency Rate,Average WBA,Minimum WBA,Maximum WBA,Average Weekly Wage,Region,Annual Regional CPI-U,Annualized State Inflation Rate,MET
2000,AK,0.308,0.281,0.60879994588987,168.56,44.0,248.0,599.99,West,174.8,0.012724879900000001,$1000; wages in 2 qtrs.
2000,AL,0.434,0.383,0.29208564615296,164.13,45.0,190.0,428.77,South,167.2,0.028163724,1- ½ x hqw
2000,AR,0.523,0.488,0.45345821793852,211.5,55.0,309.0,433.26,South,167.2,0.0284854795,27 x wba; wages in 2 qtrs.
2000,AZ,0.463,0.385,0.2057091472626,176.33,40.0,205.0,458.32,West,174.8,,1- ½ x hqw; $1000 in HQ
2000,CA,0.383,0.31,0.40979121129037,163.65,40.0,230.0,528.25,West,174.8,0.03464594075,$1300 in HQ or $900 in HQ w/ BP wages = to 1-1/4 x HQ
2000,CO,0.488,0.437,0.2339362942664,259.02,25.0,337.0,593.11,West,174.8,0.0398848595,"40 or $2500 in BP, whichever is greater"
2000,CT,0.45,0.415,0.76407753368998,253.09,15.0,362.0,609.17,Northeast,179.4,0.022983021250000003,40
2000,DC,0.443,0.392,0.32272032363013,228.91,50.0,309.0,584.42,South,167.2,0.029114074,1- ½ x hqw; not less than $1950; $1300 in 1 qtr.
2000,DE,0.459,0.423,0.39749550753952,238.58,20.0,315.0,563.64,South,167.2,,36
2000,FL,0.501,0.453,0.23813360315712,220.34,32.0,275.0,486.08,South,167.2,0.02649823675,1- ½ x hqw; $3400 in BP
2000,GA,0.48,0.42,0.23394513674957,211.45,39.0,264.0,503.54,South,167.2,0.029394403,150% of hqw; wages in 2 qtrs.
2000,HI,0.534,0.458,0.32693588065572,289.41,5.0,364.0,631.39,West,174.8,0.01761386925,26; wages in 2 qtrs.
2000,IA,0.518,0.47,0.45167644061341,229.3,37.0,263.0,487.38,Midwest,168.3,,1-1/4 x hqw; 3.5% of the Statewide aaw in HQ; 1.75% of aaw in a 2nd qtr.
2000,ID,0.504,0.487,0.39239063104112,214.04,51.0,273.0,439.86,West,174.8,,1- 1/4 x hqw; not less than the min. qualifying wages in 1 qtr.; wages in 2 qtrs.
2000,IL,0.407,0.366,0.36003996748824,221.85,51.0,284.0,605.93,Midwest,168.3,0.030677179,$1600; $440 outside HQ
2000,IN,0.493,0.441,0.33647482755853,230.62,50.0,252.0,523.5,Midwest,168.3,0.03395827175,1-1/4 x hqw; not less than $2750; $1650 in last 2 qtrs.
2000,KS,0.529,0.441,0.29631998635453,248.08,73.0,292.0,562.65,Midwest,168.3,0.03359631925,30; wages in 2 qtrs.
2000,KY,0.505,0.465,0.31319400553123,233.36,39.0,268.0,501.71,South,167.2,,1- ½ x hqw; 8 x wba in last 2 qtrs.; $750 in 1 qtr. and $750 in other qtrs.
2000,LA,0.442,0.396,0.22960018070207,186.0,12.0,215.0,470.28,South,167.2,0.03059915025,$1200; 1 - ½ x hqw
2000,MA,0.466,0.428,0.63767645663563,280.69,14.0,402.0,655.6,Northeast,179.4,0.033329926749999995,30; not less than $2000
2000,MD,0.461,0.393,0.29183831429671,207.92,25.0,250.0,529.42,South,167.2,0.01829472525,1- ½ x hqw; $576.01 in 1 qtr.; wages in 2 qtrs.
2000,ME,0.512,0.466,0.39376441773702,200.63,44.0,254.0,430.08,Northeast,179.4,,2 x annual aww in each of 2 qtrs. & 6 x annual aww in BP
2000,MI,0.476,0.426,0.43419663349932,245.35,87.0,300.0,575.3,Midwest,168.3,0.03168177075,20 wks. employment at 30 x State min. hourly wage
2000,MN,0.487,0.457,0.36875455106639,284.53,38.0,331.0,622.36,Midwest,168.3,0.03194819075,"1- 1/4 x hqw, at least $1000 in HQ"
2000,MO,0.437,0.386,0.41440965750913,186.44,45.0,220.0,483.5,Midwest,168.3,0.033226381,1- ½ x hqw; $1000 in 1 qtr.; wages in 2 qtrs.
